Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT
8,202,20,50,40,0,2050.16,14,723.459,MORE,-922,1672,750,3,1,-10.0,-0.9374084606744877,10.0,0.17460757394239457,-1.4096278939245621,-0.4955728310029539
8,203,25,80,88,1,2111.391,14,1002.812,MORE,-666,1624,958,1,2,8.0,0.7499267685395902,8.0,-0.17460757394239457,-1.4096278939245621,-0.4633144822986081
8,204,42,115,110,1,1777.964,54,1572.891,MORE,1188,640,1828,2,2,-5.0,-0.46870423033724384,5.0,-0.6984302957695783,0.3337923304603639,-0.6389739429222119
8,205,53,103,110,1,2248.647,44,1592.511,MORE,400,1052,1452,1,2,7.0,0.6561859224721414,7.0,-0.34921514788478913,-0.10206272563586763,-0.3910038568023126
8,206,26,90,80,0,1563.1270000000002,54,1570.025,MORE,-1292,1750,458,2,1,-10.0,-0.9374084606744877,10.0,0.17460757394239457,0.3337923304603639,-0.7521565932234564
8,207,35,80,72,1,2271.978,54,872.1519999999999,MORE,188,1000,1188,2,1,-8.0,-0.7499267685395902,8.0,-0.17460757394239457,0.3337923304603639,-0.3787123780804055
8,208,28,93,80,1,2260.891,54,1080.651,MORE,430,882,1312,2,1,-13.0,-1.218630998876834,13.0,0.6984302957695783,0.3337923304603639,-0.38455334608819697
8,209,26,80,90,1,1509.5379999999998,54,966.046,MORE,440,450,890,2,1,10.0,0.9374084606744877,10.0,0.17460757394239457,0.3337923304603639,-0.7803889044500769
8,210,25,88,80,1,4128.835999999999,44,1230.883,MORE,1082,1368,2450,2,1,-8.0,-0.7499267685395902,8.0,-0.17460757394239457,-0.10206272563586763,0.5995367581161929
8,211,36,80,70,1,1242.251,44,1182.846,MORE,580,406,986,3,2,-10.0,-0.9374084606744877,10.0,0.17460757394239457,-0.10206272563586763,-0.9212038062177835
8,212,28,80,93,1,2094.95,64,611.255,MORE,444,796,1240,1,1,13.0,1.218630998876834,13.0,0.6984302957695783,0.7696473865565954,-0.47197609996038326
8,213,21,82,80,1,2392.54,44,1166.873,MORE,214,1142,1356,2,1,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,-0.10206272563586763,-0.3151966583225488
8,214,19,50,41,0,2566.652,54,1612.864,MORE,-1200,1936,736,2,1,-9.0,-0.843667614607039,9.0,0.0,0.3337923304603639,-0.223469173721431
8,215,56,96,110,1,1587.263,54,1218.851,MORE,360,540,900,1,2,14.0,1.3123718449442827,14.0,0.8730378697119728,0.3337923304603639,-0.7394410160758013
8,216,23,80,85,1,1428.4360000000001,64,1168.519,MORE,648,442,1090,2,1,5.0,0.46870423033724384,5.0,-0.6984302957695783,0.7696473865565954,-0.8231158988911255
8,217,10,60,50,1,2804.1890000000003,44,1610.182,MORE,-94,1688,1594,2,1,-10.0,-0.9374084606744877,10.0,0.17460757394239457,-0.10206272563586763,-0.0983274746444244
8,218,19,41,50,0,2272.403,54,1164.256,MORE,-716,1478,762,3,1,9.0,0.843667614607039,9.0,0.0,0.3337923304603639,-0.3784884751848242
8,219,56,110,96,0,2089.8070000000002,54,1679.729,MORE,-1246,1752,506,2,1,-14.0,-1.3123718449442827,14.0,0.8730378697119728,0.3337923304603639,-0.4746855884120899
8,220,35,72,80,1,2406.058,54,1189.687,MORE,430,944,1374,2,1,8.0,0.7499267685395902,8.0,-0.17460757394239457,0.3337923304603639,-0.3080749657520314
8,221,11,49,50,1,1395.817,54,1127.096,MORE,292,508,800,3,1,1.0,0.09374084606744877,1.0,-1.3968605915391565,0.3337923304603639,-0.8403005778345862
8,222,17,43,50,1,1477.77,54,1360.4160000000002,MORE,1010,516,1526,2,1,7.0,0.6561859224721414,7.0,-0.34921514788478913,0.3337923304603639,-0.7971252507720322
8,223,1,51,50,1,1956.009,54,757.1160000000001,MORE,432,726,1158,2,1,-1.0,-0.09374084606744877,1.0,-1.3968605915391565,0.3337923304603639,-0.5451744345838663
8,224,41,112,110,1,2400.0820000000003,64,1573.641,MORE,596,852,1448,2,1,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,0.7696473865565954,-0.31122330387907726
8,225,20,40,50,1,1644.349,64,1748.119,MORE,58,1188,1246,2,1,10.0,0.9374084606744877,10.0,0.17460757394239457,0.7696473865565954,-0.7093663791413027
8,226,1,50,51,0,2142.379,74,1406.91,MORE,-780,1366,586,2,1,1.0,0.09374084606744877,1.0,-1.3968605915391565,1.205502442652827,-0.44698906364383745
8,227,23,85,80,1,2177.221,14,860.8389999999999,MORE,-146,1360,1214,4,1,-5.0,-0.46870423033724384,5.0,-0.6984302957695783,-1.4096278939245621,-0.4286332408489
8,228,11,50,49,0,1539.5420000000001,74,1258.364,MORE,-458,1024,566,2,1,-1.0,-0.09374084606744877,1.0,-1.3968605915391565,1.205502442652827,-0.7645818868523699
8,229,17,50,43,1,1636.221,4,782.8969999999999,MORE,-222,1084,862,2,1,-7.0,-0.6561859224721414,7.0,-0.34921514788478913,-1.8454829500207937,-0.7136484561655048
8,230,21,80,82,1,1258.661,74,1741.504,MORE,206,674,880,2,1,2.0,0.18748169213489754,2.0,-1.2222530175967619,1.205502442652827,-0.9125585202966273
8,231,10,50,60,1,1221.12,84,1636.692,MORE,-98,822,724,2,1,10.0,0.9374084606744877,10.0,0.17460757394239457,1.6413574987490585,-0.9323362581860927
8,232,3,53,50,1,1365.15,20,1378.545,MORE,-576,1466,890,2,1,-3.0,-0.28122253820234633,3.0,-1.0476454436543674,-1.1481148602668232,-0.8564568839494001
8,233,45,122,110,0,1922.175,64,813.3739999999999,MORE,-750,1396,646,2,1,-12.0,-1.1248901528093853,12.0,0.5238227218271837,0.7696473865565954,-0.5629992123935189
8,234,38,67,80,1,1437.994,54,1597.136,MORE,206,866,1072,3,1,13.0,1.218630998876834,13.0,0.6984302957695783,0.3337923304603639,-0.8180804544770846
8,235,38,80,67,0,2292.136,64,1105.003,MORE,-1358,1826,468,2,1,-13.0,-1.218630998876834,13.0,0.6984302957695783,0.7696473865565954,-0.3680925320353924
8,236,36,70,80,1,2162.8360000000002,64,665.895,MORE,410,846,1256,1,2,10.0,0.9374084606744877,10.0,0.17460757394239457,0.7696473865565954,-0.4362116953264036
8,237,45,110,122,1,1459.06,74,1282.882,MORE,660,582,1242,2,1,12.0,1.1248901528093853,12.0,0.5238227218271837,1.205502442652827,-0.8069822464810409
8,238,42,110,115,0,2033.5410000000002,64,1883.8729999999998,MORE,-994,1472,478,2,1,5.0,0.46870423033724384,5.0,-0.6984302957695783,0.7696473865565954,-0.5043282244657018
8,239,41,110,112,1,2197.817,64,1175.085,MORE,326,814,1140,2,1,2.0,0.18748169213489754,2.0,-1.2222530175967619,0.7696473865565954,-0.4177826431138523
8,240,53,110,103,0,3077.0820000000003,64,1341.0929999999998,MORE,-552,1690,1138,2,1,-7.0,-0.6561859224721414,7.0,-0.34921514788478913,0.7696473865565954,0.04544083802358714
9,1,49,110,131,1,1737.66,60,1361.161,MORE,252,686,938,0,0,21.0,1.9685577674164243,21.0,2.095290887308735,0.26371992450917375,-0.03729147856076226
9,2,13,47,50,1,1700.4170000000001,30,1439.5220000000002,MORE,94,428,522,0,0,3.0,0.28122253820234633,3.0,-1.0476454436543674,-0.8275349355287865,-0.10340315423526907
9,3,16,50,44,0,1476.671,30,1334.914,MORE,-22,424,402,0,0,-6.0,-0.5624450764046927,6.0,-0.5238227218271837,-0.8275349355287865,-0.5005844496590568
9,4,7,57,50,1,1643.3270000000002,70,1003.951,MORE,80,404,484,0,0,-7.0,-0.6561859224721414,7.0,-0.34921514788478913,0.6274715445218272,-0.20474610631371484
9,5,18,42,50,1,1397.6760000000002,50,1210.4,MORE,-4,382,378,0,0,8.0,0.7499267685395902,8.0,-0.17460757394239457,-0.10003169550347969,-0.6408119238127936
9,6,51,108,110,0,2087.1220000000003,10,857.758,MORE,-414,1072,658,0,0,2.0,0.18748169213489754,2.0,-1.2222530175967619,-1.5550381755540934,0.5830537783885823
9,7,31,78,80,1,1959.9170000000001,70,873.334,MORE,-162,1122,960,0,0,2.0,0.18748169213489754,2.0,-1.2222530175967619,0.6274715445218272,0.357246627939487
9,8,58,110,92,0,1866.011,80,1118.559,MORE,618,582,1200,0,0,-18.0,-1.687335229214078,18.0,1.571468165481551,0.9912231645344806,0.1905499865333112
9,9,12,50,48,1,2345.8179999999998,30,670.529,MORE,216,608,824,0,0,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,-0.8275349355287865,1.0422763450532468
9,10,54,110,101,0,3013.5290000000005,60,1471.275,MORE,2,1080,1082,0,0,-9.0,-0.843667614607039,9.0,0.0,0.26371992450917375,2.227559299603107
9,11,14,46,50,1,1952.5620000000001,80,1371.634,MORE,208,888,1096,0,0,4.0,0.3749633842697951,4.0,-0.8730378697119728,0.9912231645344806,0.34419044625202905
9,12,22,80,83,0,2152.2129999999997,0,1187.2,MORE,-1096,1568,472,0,0,3.0,0.28122253820234633,3.0,-1.0476454436543674,-1.9187897955667468,0.698599654964832
9,13,6,50,56,0,2567.785,50,1172.744,MORE,22,752,774,0,0,6.0,0.5624450764046927,6.0,-0.5238227218271837,-0.10003169550347969,1.4362996598894084
9,14,13,50,47,1,2959.43,70,1362.374,MORE,-302,1052,750,0,0,-3.0,-0.28122253820234633,3.0,-1.0476454436543674,0.6274715445218272,2.1315258022394366
9,15,46,110,124,1,2399.982,60,1583.975,MORE,-308,976,668,0,0,14.0,1.3123718449442827,14.0,0.8730378697119728,0.26371992450917375,1.1384252267554178
9,16,27,91,80,0,2534.6839999999997,80,1199.8519999999999,MORE,-390,1034,644,0,0,-11.0,-1.0311493067419364,11.0,0.34921514788478913,0.9912231645344806,1.377540629293006
9,17,40,64,80,1,2663.548,70,1061.817,MORE,-610,1164,554,0,0,16.0,1.4998535370791803,16.0,1.2222530175967619,0.6274715445218272,1.6062927430894127
9,18,22,83,80,0,2875.6540000000005,30,1082.231,MORE,192,698,890,0,0,-3.0,-0.28122253820234633,3.0,-1.0476454436543674,-0.8275349355287865,1.9828113662029354
9,19,54,101,110,0,2027.183,60,2019.26,MORE,-96,848,752,0,0,9.0,0.843667614607039,9.0,0.0,0.26371992450917375,0.4766534419963933
9,20,6,56,50,1,2750.827,20,1589.905,MORE,106,730,836,0,0,-6.0,-0.5624450764046927,6.0,-0.5238227218271837,-1.19128655554144,1.761225507399358
9,21,18,50,42,1,2205.375,60,956.6010000000001,MORE,242,490,732,0,0,-8.0,-0.7499267685395902,8.0,-0.17460757394239457,0.26371992450917375,0.7929698427103977
9,22,43,110,117,1,1977.979,40,1540.266,MORE,84,516,600,0,0,7.0,0.6561859224721414,7.0,-0.34921514788478913,-0.4637833155161331,0.3893092728937857
9,23,32,77,80,0,1980.279,40,1372.989,MORE,-172,782,610,0,0,3.0,0.28122253820234633,3.0,-1.0476454436543674,-0.4637833155161331,0.39339210333309943
9,24,27,80,91,1,1653.0770000000002,60,1366.6770000000001,MORE,-78,518,440,0,0,11.0,1.0311493067419364,11.0,0.34921514788478913,0.26371992450917375,-0.18743845553836275
9,25,16,44,50,1,1485.164,70,1226.889,MORE,-104,536,432,0,0,6.0,0.5624450764046927,6.0,-0.5238227218271837,0.6274715445218272,-0.4855081544759733
9,26,7,50,57,1,1783.6529999999998,90,1353.81,MORE,1064,404,1468,0,0,7.0,0.6561859224721414,7.0,-0.34921514788478913,1.354974784547134,0.044352704219828974
9,27,14,50,46,0,1855.0970000000002,20,1493.444,MORE,-398,936,538,0,0,-4.0,-0.3749633842697951,4.0,-0.8730378697119728,-1.19128655554144,0.17117606852693248
9,28,51,110,108,1,2431.437,0,2411.3379999999997,MORE,-1412,2158,746,0,0,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,-1.9187897955667468,1.1942623708722075
9,29,50,133,110,1,2048.157,50,638.129,MORE,76,594,670,0,0,-23.0,-2.1560394595513217,23.0,2.4445060351935237,-0.10003169550347969,0.5138853053155972
9,30,49,131,110,0,1933.9370000000001,70,477.39,MORE,54,548,602,0,0,-21.0,-1.9685577674164243,21.0,2.095290887308735,0.6274715445218272,0.3111283954119334
9,31,47,126,110,0,1995.005,60,232.80900000000003,MORE,-770,1350,580,0,0,-16.0,-1.4998535370791803,16.0,1.2222530175967619,0.26371992450917375,0.41953286900672376
9,32,50,110,133,1,1805.838,70,1206.58,MORE,-62,596,534,0,0,23.0,2.1560394595513217,23.0,2.4445060351935237,0.6274715445218272,0.08373426652251507
9,33,47,110,126,1,1846.3120000000001,80,1165.942,MORE,144,526,670,0,0,16.0,1.4998535370791803,16.0,1.2222530175967619,0.9912231645344806,0.15558143139242278
