name,parcode,trial,fix_item,fix_time,rt,block
P22,1,65,0,264.0,2046.0620000000001,LESS
P22,1,65,1,382.0,2046.0620000000001,LESS
P22,1,65,1,330.0,2046.0620000000001,LESS
P22,1,65,2,314.0,2046.0620000000001,LESS
P22,1,65,2,326.0,2046.0620000000001,LESS
P22,1,65,1,430.0619999999999,2046.0620000000001,LESS
P22,1,66,0,148.0,3822.2509999999997,LESS
P22,1,66,1,430.0,3822.2509999999997,LESS
P22,1,66,1,466.0,3822.2509999999997,LESS
P22,1,66,2,394.0,3822.2509999999997,LESS
P22,1,66,2,450.0,3822.2509999999997,LESS
P22,1,66,1,584.0,3822.2509999999997,LESS
P22,1,66,1,242.0,3822.2509999999997,LESS
P22,1,66,2,506.0,3822.2509999999997,LESS
P22,1,66,2,602.2509999999997,3822.2509999999997,LESS
P22,1,67,0,182.0,3347.54,LESS
P22,1,67,1,356.0,3347.54,LESS
P22,1,67,1,430.0,3347.54,LESS
P22,1,67,2,638.0,3347.54,LESS
P22,1,67,1,556.0,3347.54,LESS
P22,1,67,1,336.0,3347.54,LESS
P22,1,67,2,464.0,3347.54,LESS
P22,1,67,1,385.53999999999996,3347.54,LESS
P22,1,68,0,197.0,2252.245,LESS
P22,1,68,1,350.0,2252.245,LESS
P22,1,68,1,414.0,2252.245,LESS
P22,1,68,1,304.0,2252.245,LESS
P22,1,68,2,360.0,2252.245,LESS
P22,1,68,2,334.0,2252.245,LESS
P22,1,68,2,293.2449999999999,2252.245,LESS
P22,1,69,0,3.0,2083.424,LESS
P22,1,69,1,202.0,2083.424,LESS
P22,1,69,1,334.0,2083.424,LESS
P22,1,69,1,348.0,2083.424,LESS
P22,1,69,1,238.0,2083.424,LESS
P22,1,69,2,388.0,2083.424,LESS
P22,1,69,2,570.424,2083.424,LESS
P22,1,70,0,266.0,4155.502,LESS
P22,1,70,1,286.0,4155.502,LESS
P22,1,70,1,362.0,4155.502,LESS
P22,1,70,1,388.0,4155.502,LESS
P22,1,70,2,362.0,4155.502,LESS
P22,1,70,2,442.0,4155.502,LESS
P22,1,70,1,490.0,4155.502,LESS
P22,1,70,1,358.0,4155.502,LESS
P22,1,70,1,544.0,4155.502,LESS
P22,1,70,1,180.0,4155.502,LESS
P22,1,70,2,477.5020000000004,4155.502,LESS
P22,1,71,0,3.0,2550.939,LESS
P22,1,71,0,266.0,2550.939,LESS
P22,1,71,1,284.0,2550.939,LESS
P22,1,71,1,422.0,2550.939,LESS
P22,1,71,1,372.0,2550.939,LESS
P22,1,71,2,500.0,2550.939,LESS
P22,1,71,2,290.0,2550.939,LESS
P22,1,71,1,413.93899999999985,2550.939,LESS
P22,1,72,0,75.0,5814.5509999999995,LESS
P22,1,72,1,178.0,5814.5509999999995,LESS
P22,1,72,1,576.0,5814.5509999999995,LESS
P22,1,72,1,356.0,5814.5509999999995,LESS
P22,1,72,1,538.0,5814.5509999999995,LESS
P22,1,72,1,388.0,5814.5509999999995,LESS
P22,1,72,1,310.0,5814.5509999999995,LESS
P22,1,72,2,492.0,5814.5509999999995,LESS
P22,1,72,2,328.0,5814.5509999999995,LESS
P22,1,72,1,504.0,5814.5509999999995,LESS
P22,1,72,1,418.0,5814.5509999999995,LESS
P22,1,72,1,456.0,5814.5509999999995,LESS
P22,1,72,1,362.0,5814.5509999999995,LESS
P22,1,72,1,296.0,5814.5509999999995,LESS
P22,1,72,2,330.0,5814.5509999999995,LESS
P22,1,72,2,207.55099999999948,5814.5509999999995,LESS
P22,1,73,0,116.0,1428.2879999999998,LESS
P22,1,73,1,266.0,1428.2879999999998,LESS
P22,1,73,1,246.0,1428.2879999999998,LESS
P22,1,73,2,800.2879999999998,1428.2879999999998,LESS
P22,1,74,0,216.0,1743.991,LESS
P22,1,74,1,314.0,1743.991,LESS
